seed,data_set,arch,forget_cls,budget_b,strength,mask_mode,forget_acc,retain_acc,overall_acc,score,best_epoch,time_s
123,CIFAR10,ResNet-18,airplane,0.003,2.0,structured,0.0,87.69,78.92,,1,16.9
123,CIFAR10,EfficientNet-B0,automobile,0.02,0.1,structured,0.0,78.34,70.51,85.12,3,49.1
123,CIFAR10,EfficientNet-B0,automobile+cat+dog,0.03,0.1,structured,0.0,45.84,32.09,39.37,3,121.2
123,CIFAR10,EfficientNet-B0,cat,0.03,0.1,structured,0.0,83.77,75.39,69.55,4,65.0
123,CIFAR10,EfficientNet-B0,dog,0.02,0.1,structured,0.0,80.13,72.12,72.46,4,64.0
123,CIFAR10,ResNet-18,automobile,0.003,2.0,structured,0.0,87.21,78.49,93.99,1,18.8
123,CIFAR10,ResNet-18,automobile+cat+dog,0.25,2.0,random,5.03,87.93,63.06,76.43,1,88.8
123,CIFAR10,ResNet-18,cat,0.001,2.0,structured,0.0,91.41,82.27,77.19,1,18.9
123,CIFAR10,ResNet-18,dog,0.005,2.0,structured,0.0,90.07,81.06,82.4,1,18.6
123,CIFAR100,EfficientNet-B0,apple,0.03,0.1,structured,0.0,70.29,69.59,82.84,11,58.2
123,CIFAR100,EfficientNet-B0,apple+otter+seal,0.03,0.1,structured,0.0,67.46,65.44,55.52,10,75.4
123,CIFAR100,EfficientNet-B0,otter,0.005,2.0,random,0.0,65.93,65.27,39.08,15,79.5
123,CIFAR100,EfficientNet-B0,seal,0.05,1.5,structured,1.0,68.29,67.62,46.5,2,15.9
123,CIFAR100,ResNet-18,apple,0.03,0.1,structured,0.0,74.18,73.44,86.73,12,75.1
123,CIFAR100,ResNet-18,apple+otter+seal,0.03,0.1,structured,0.0,71.42,69.28,59.48,10,88.3
123,CIFAR100,ResNet-18,otter,0.05,1.0,random,0.0,74.14,73.4,47.29,9,55.7
123,CIFAR100,ResNet-18,seal,0.25,1.5,structured,0.0,74.4,73.66,53.61,2,12.3
456,CIFAR10,EfficientNet-B0,automobile,0.02,0.1,structured,0.0,77.32,69.59,84.1,3,48.0
456,CIFAR10,EfficientNet-B0,automobile+cat+dog,0.03,0.1,structured,0.0,47.94,33.56,41.47,3,121.2
456,CIFAR10,EfficientNet-B0,cat,0.03,0.1,structured,0.0,85.12,76.61,70.9,3,49.6
456,CIFAR10,EfficientNet-B0,dog,0.02,0.1,structured,0.0,82.02,73.82,74.35,3,49.3
456,CIFAR10,ResNet-18,automobile,0.003,2.0,structured,0.0,86.74,78.07,93.52,1,18.8
456,CIFAR10,ResNet-18,automobile+cat+dog,0.25,2.0,random,4.3,87.11,62.27,76.34,1,87.3
456,CIFAR10,ResNet-18,cat,0.001,2.0,structured,0.0,91.43,82.29,77.21,1,19.5
456,CIFAR10,ResNet-18,dog,0.005,2.0,structured,0.0,90.02,81.02,82.35,1,18.5
456,CIFAR100,EfficientNet-B0,apple,0.03,0.1,structured,0.0,70.63,69.92,83.18,11,57.4
456,CIFAR100,EfficientNet-B0,apple+otter+seal,0.03,0.1,structured,0.0,67.0,64.99,55.06,10,76.1
456,CIFAR100,EfficientNet-B0,otter,0.005,2.0,random,0.0,59.79,59.19,32.94,24,125.1
456,CIFAR100,EfficientNet-B0,seal,0.05,1.5,structured,1.0,68.14,67.47,46.35,2,15.7
456,CIFAR100,ResNet-18,apple,0.03,0.1,structured,0.0,73.76,73.02,86.31,12,74.3
456,CIFAR100,ResNet-18,apple+otter+seal,0.03,0.1,structured,0.0,71.89,69.73,59.95,10,89.0
456,CIFAR100,ResNet-18,otter,0.05,1.0,random,0.0,71.9,71.18,45.05,10,61.6
456,CIFAR100,ResNet-18,seal,0.25,1.5,structured,0.0,74.32,73.58,53.53,2,12.4
