data_set,arch,forget_cls,budget_b,strength,mask_mode,score_mean,score_std,forget_mean,forget_std,retain_mean,retain_std,n_seeds
CIFAR10,EfficientNet-B0,automobile,0.02,0.1,structured,85.71,1.97,0.0,0.0,77.9,0.52,3
CIFAR10,EfficientNet-B0,automobile+cat+dog,0.03,0.1,structured,51.77,19.69,1.61,2.79,59.95,22.64,3
CIFAR10,EfficientNet-B0,cat,0.03,0.1,structured,70.89,1.33,0.0,0.0,84.37,0.69,3
CIFAR10,EfficientNet-B0,dog,0.02,0.1,structured,71.87,2.82,0.0,0.0,81.51,1.21,3
CIFAR10,ResNet-18,airplane,0.0,2.0,structured,,,0.0,,87.69,,1
CIFAR10,ResNet-18,automobile,0.0,2.0,structured,93.86,0.3,0.0,0.0,87.08,0.3,3
CIFAR10,ResNet-18,automobile+cat+dog,0.25,2.0,random,76.59,0.35,4.33,0.68,87.39,0.47,3
CIFAR10,ResNet-18,cat,0.0,2.0,structured,77.15,0.09,0.0,0.0,91.37,0.09,3
CIFAR10,ResNet-18,dog,0.0,2.0,structured,82.43,0.1,0.0,0.0,90.1,0.1,3
CIFAR100,EfficientNet-B0,apple,0.03,0.1,structured,84.32,2.27,0.0,0.0,70.57,0.25,3
CIFAR100,EfficientNet-B0,apple+otter+seal,0.03,0.1,structured,54.66,1.11,0.0,0.0,67.21,0.23,3
CIFAR100,EfficientNet-B0,otter,0.0,2.0,random,39.81,7.26,0.33,0.58,65.79,5.93,3
CIFAR100,EfficientNet-B0,seal,0.05,1.5,structured,41.98,7.7,1.0,0.0,67.95,0.46,3
CIFAR100,ResNet-18,apple,0.03,0.1,structured,86.78,0.5,0.0,0.0,74.23,0.5,3
CIFAR100,ResNet-18,apple+otter+seal,0.03,0.1,structured,59.98,0.52,0.0,0.0,71.92,0.51,3
CIFAR100,ResNet-18,otter,0.05,1.0,random,46.69,1.43,0.0,0.0,73.54,1.43,3
CIFAR100,ResNet-18,seal,0.25,1.5,structured,53.64,0.12,0.0,0.0,74.43,0.12,3
